Primer_set	[Primer_set](μM)	Pool
chikv_1	0,03	1
chikv_3	0,015	1
chikv_5	0,03	1
chikv_7	0,015	1
chikv_9B	0,03	1
chikv_11	0,015	1
chikv_13	0,015	1
chikv_15A	0,03	1
chikv_17	0,015	1
chikv_19	0,015	1
chikv_21	0,015	1
chikv_23	0,03	1
chikv_25	0,015	1
chikv_27	0,015	1
chikv_29	0,015	1
chikv_31	0,015	1
chikv_33	0,03	1
chikv_35	0,03	1
chikv_37	0,03	1
chikv_39	0,03	1
chikv_41	0,015	1
chikv_43	0,03	1
chikv_2	0,015	2
chikv_4	0,015	2
chikv_6	0,015	2
chikv_8	0,015	2
chikv_10	0,015	2
chikv_12	0,015	2
chikv_14	0,015	2
chikv_16	0,015	2
chikv_18	0,015	2
chikv_20	0,015	2
chikv_22	0,015	2
chikv_24	0,015	2
chikv_26	0,015	2
chikv_28	0,015	2
chikv_30	0,015	2
chikv_32	0,015	2
chikv_34	0,015	2
chikv_36	0,015	2
chikv_38	0,015	2
chikv_40	0,015	2
chikv_42	0,015	2
chikv_1_LEFT_B	0,02	1
chikv_5_RIGHT_B	0,02	1
chikv_9_LEFT_B	0,02	1
chikv_21_LEFT_B	0,02	1
chikv_22_LEFT_B	0,02	2
chikv_23_LEFT_B	0,02	1
chikv_28_RIGHT_B	0,02	2
chikv_40_LEFT_B	0,02	2
chikv_40_RIGHT_B	0,02	2
chikv_42_LEFT_B	0,02	2
